human_csv,cache_subfolder,model_csv_relpath,model_csv_path,metric,method,predictor_column,n_bootstrap,n_rows_aligned,n_human_correlation_smaller,pct_human_correlation_smaller
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,pearson_r_area,pearson,mask_area_pixels,10000,1306,92,0.92
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,spearman_rho_area,spearman,mask_area_pixels,10000,1306,49,0.49
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,pearson_r_center_dist,pearson,center_distance_pixels,10000,1306,8816,88.16
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,spearman_rho_center_dist,spearman,center_distance_pixels,10000,1306,9265,92.65
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,pearson_r_person,pearson,person_bin,10000,1306,10000,100.0
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,spearman_rho_person,spearman,person_bin,10000,1306,10000,100.0
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,pearson_r_gbvs,pearson,max_gbvs,10000,1306,1853,18.53
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,spearman_rho_gbvs,spearman,max_gbvs,10000,1306,1416,14.16
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,pearson_r_gbvs_mean,pearson,mean_gbvs,10000,1306,3722,37.22
CSS_result/Cache/human_filtered_10/scene_description_human_filtered_all_10_mean_distance_mean_of_10.csv,20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,spearman_rho_gbvs_mean,spearman,mean_gbvs,10000,1306,2278,22.78
