cache_subfolder,csv_relpath,csv_path,n_rows_in_csv,n_masks_joined,n_masks_missing_on_disk,n_masks_valid_correlation,pearson_r_area,spearman_rho_area,pearson_r_center_dist,spearman_rho_center_dist,pearson_r_person,spearman_rho_person,pearson_r_gbvs,spearman_rho_gbvs,pearson_r_gbvs_mean,spearman_rho_gbvs_mean
20260428_142302claude-haiku-4-5,20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,CSS_result/Cache/20260428_142302claude-haiku-4-5/scored_descriptions_20260428_142302.csv,1306,1306,0,1306,-0.3775556875460631,-0.4114400183814102,0.23918148883054305,0.23621557744680066,-0.1671665713664386,-0.17935367909498,-0.30862283850516303,-0.31318668965956986,-0.14675911861430824,-0.16639112787528876
20260428_142457claude-opus-4-6,20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,CSS_result/Cache/20260428_142457claude-opus-4-6/scored_descriptions_20260428_142457.csv,1306,1306,0,1306,-0.3726332879890421,-0.397909928720172,0.2649914183708448,0.2730704168217388,-0.2882186818691788,-0.3022996815434064,-0.342310433500425,-0.35867265890424865,-0.19252838421439006,-0.2246609846819068
20260428_142728claude-sonnet-4-6,20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,CSS_result/Cache/20260428_142728claude-sonnet-4-6/scored_descriptions_20260428_142728.csv,1306,1306,0,1306,-0.3684095529799833,-0.3900801151887475,0.2848588177808855,0.2925064558112796,-0.24512041185020736,-0.2581955096690844,-0.33850988988217995,-0.3568129291314155,-0.20323734732873722,-0.2383733567121048
20260428_142915gemini-3-flash-preview,20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,CSS_result/Cache/20260428_142915gemini-3-flash-preview/scored_descriptions_20260428_142915.csv,1306,1306,0,1306,-0.3525041928483668,-0.37325257628062763,0.25026635978888484,0.24568370515667712,-0.2768079631824149,-0.2828072120423778,-0.33181981542264594,-0.3447349689022786,-0.18603962530295579,-0.20235672108770925
20260428_143045gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,CSS_result/Cache/20260428_143045gemini-3.1-flash-lite-preview/scored_descriptions_20260428_143045.csv,1306,1306,0,1306,-0.3554060008107406,-0.3844761996102109,0.23842865386747444,0.22709658252883502,-0.2763053649615936,-0.28154615529220334,-0.3094143230359846,-0.31078645700250357,-0.14888662921091794,-0.16436866859450763
20260428_143246gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,CSS_result/Cache/20260428_143246gemini-3.1-pro-preview/scored_descriptions_20260428_143246.csv,1306,1306,0,1306,-0.3674327712734419,-0.3859157007124517,0.25873386961293177,0.25695625620440554,-0.29715293099814666,-0.2921784107174661,-0.3256995750853849,-0.3399742729024111,-0.16847416232987003,-0.19073026702036502
20260428_143413google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,CSS_result/Cache/20260428_143413google_gemma-4-31B-it/scored_descriptions_20260428_143413.csv,1306,1306,0,1306,-0.3471260203028047,-0.38111789779638444,0.23033849690473562,0.22869232825006164,-0.26134274134163826,-0.2575579535414753,-0.2852025447084451,-0.28147829029323745,-0.13573365920870317,-0.14721657009428699
20260428_143652google_gemma-4-E2B-it,20260428_143652google_gemma-4-E2B-it/scored_descriptions_20260428_143652.csv,CSS_result/Cache/20260428_143652google_gemma-4-E2B-it/scored_descriptions_20260428_143652.csv,1306,1306,0,1306,-0.34188303221193844,-0.3588116926974828,0.25434584027127927,0.2495328908866611,-0.2613636153021559,-0.25227698192073683,-0.2903924329108775,-0.2900312345558954,-0.1363742576894611,-0.14822251843401427
20260428_143848google_gemma-4-E4B-it,20260428_143848google_gemma-4-E4B-it/scored_descriptions_20260428_143848.csv,CSS_result/Cache/20260428_143848google_gemma-4-E4B-it/scored_descriptions_20260428_143848.csv,1306,1306,0,1306,-0.36931371928606427,-0.3758620637688601,0.21937037170858295,0.20515107120333118,-0.25140009199127483,-0.2507698074673136,-0.28989175819033935,-0.28388812377056943,-0.12837008318074428,-0.15165212099335756
20260428_144035gpt-5.4-mini,20260428_144035gpt-5.4-mini/scored_descriptions_20260428_144035.csv,CSS_result/Cache/20260428_144035gpt-5.4-mini/scored_descriptions_20260428_144035.csv,1306,1306,0,1306,-0.3839901436703354,-0.4187729573270302,0.26149088110475005,0.255177677296293,-0.30526806166441284,-0.30458739665691514,-0.3317275572272639,-0.3400592001728839,-0.14763520500536173,-0.1673469812123656
