model,cache_subfolder,acc_gap,gap_mask_area_pixels_observed,gap_center_distance_pixels_observed,gap_person_bin_observed,gap_max_gbvs_observed
claude-haiku-4-5,20260428_142302claude-haiku-4-5,-0.11396482084690551,-0.060163159215410655,-0.03406240083555262,0.18849551446403598,-0.02537186710660666
claude-opus-4-6,20260428_142457claude-opus-4-6,-0.10419283387622158,-0.04663306955417251,-0.07091724021049084,0.06744340396129572,-0.0708578363512854
claude-sonnet-4-6,20260428_142728claude-sonnet-4-6,-0.08790618892508151,-0.03880325602274798,-0.09035327920003161,0.11054167398026715,-0.06899810657845218
gemini-3-flash-preview,20260428_142915gemini-3-flash-preview,-0.11722214983713353,-0.02197571711462809,-0.04353052854542919,0.07885412264805963,-0.05692014634931536
gemini-3.1-flash-lite-preview,20260428_143045gemini-3.1-flash-lite-preview,-0.10419283387622158,-0.03319934044421141,-0.024943405917587036,0.07935672086888096,-0.022971634449540368
gemini-3.1-pro-preview,20260428_143246gemini-3.1-pro-preview,-0.10093550488599357,-0.034638841546452026,-0.0548030795931575,0.05850915483232788,-0.05215945034944791
google_gemma-4-31B-it,20260428_143413google_gemma-4-31B-it,-0.1107074918566775,-0.029841038630384842,-0.02653915163881365,0.09431934448883633,0.006336532259725747
google_gemma-4-E2B-it,20260428_143652google_gemma-4-E2B-it,-0.1563100977198697,-0.00753483353148332,-0.047379714275413126,0.09429847052831858,-0.002216412002932211
google_gemma-4-E4B-it,20260428_143848google_gemma-4-E4B-it,-0.1563100977198697,-0.02458520460286051,-0.0029978945920832445,0.10426199383919965,0.003926698782393712
gpt-5.4-mini,20260428_144035gpt-5.4-mini,-0.09442084690553754,-0.0674960981610307,-0.05302450068504505,0.05039402416606176,-0.05224437761992068
gpt-5.4-nano,20260428_144245gpt-5.4-nano,-0.11722214983713353,-0.03578546155063833,-0.041139561901684524,0.1692835886127644,0.006321369581503422
gpt-5.4,20260428_144419gpt-5.4,-0.09767817589576555,-0.08058636813285269,-0.05994310705012351,0.026268604494138814,-0.08233828919672137
OpenGVLab_InternVL3-2B,20260429_142353OpenGVLab_InternVL3-2B,-0.11396482084690551,-0.023992455387223832,0.00817820919189563,0.09242747639697424,0.015683438032657426
OpenGVLab_InternVL3-8B,20260429_142600OpenGVLab_InternVL3-8B,-0.08790618892508151,-0.06034460085358745,-0.0002858186527286144,0.11125283871302996,-0.008453988909597976
OpenGVLab_InternVL3-14B,20260429_142733OpenGVLab_InternVL3-14B,-0.07813420195439746,-0.07884476597579437,-0.02228029567789183,0.10964439038434556,-0.007787245286356326
Qwen_Qwen3-VL-8B-Instruct,20260429_143116Qwen_Qwen3-VL-8B-Instruct,-0.10093550488599357,-0.072162417131447,-0.031245374155149247,0.08005680251287567,-0.026925850219693348
Qwen_Qwen3-VL-4B-Instruct,20260429_143259Qwen_Qwen3-VL-4B-Instruct,-0.11722214983713353,-0.09863836201173337,-0.06738441464984068,0.056696127516250305,-0.07211202710511444
Qwen_Qwen3-VL-4B-Thinking,20260430_111450Qwen_Qwen3-VL-4B-Thinking,-0.0651048859934854,-0.07824085592443103,-0.05353622916318451,0.08275591432320539,-0.049003496075064934
Qwen_Qwen3-VL-8B-Thinking,20260430_112243Qwen_Qwen3-VL-8B-Thinking,-0.0846488599348535,-0.06914129728090745,-0.04595289434807234,0.09046178422692758,-0.03829474210024969
